944,958,0
190,535,0
809,830,0
625,748,0
770,92,0
370,491,1
26,313,0
549,655,1
914,227,0
674,795,0
955,119,0
765,469,1
344,55,0
378,734,0
205,283,0
521,623,1
813,956,0
105,682,0
946,128,0
102,504,0
19,400,0
600,607,1
261,163,0
614,318,1
281,513,1
178,977,0
451,564,1
43,671,0
122,452,0
975,212,0
481,7,0
61,668,0
697,630,1
736,946,0
860,942,0
28,206,0
23,306,0
827,44,0
119,163,0
881,235,0
654,780,0
581,666,1
165,824,0
101,95,0
8,60,0
684,426,1
730,967,0
381,398,1
803,384,0
965,276,0
81,258,0
472,556,1
650,603,1
960,998,0
857,781,0
749,544,1
919,248,0
544,400,1
235,957,0
300,384,1
89,877,0
916,792,0
675,446,1
627,256,0
199,779,0
608,840,0
217,147,0
784,72,0
871,824,0
98,124,0
445,377,1
663,380,1
181,145,0
614,630,1
198,121,0
58,690,0
645,776,0
871,625,0
536,223,0
611,19,0
246,242,0
596,460,1
975,616,0
946,458,0
603,487,1
739,812,0
848,931,0
271,163,0
338,89,0
254,896,0
648,855,0
257,139,0
186,620,0
862,441,0
741,754,0
305,129,0
636,591,1
265,716,0
245,321,0
633,367,1
186,143,0
24,781,0
394,201,0
907,912,0
60,235,0
917,282,0
889,367,0
91,621,0
366,28,0
199,805,0
83,40,0
979,86,0
18,417,0
184,353,0
940,326,0
381,262,0
333,826,0
648,286,1
547,612,1
624,287,1
586,685,1
438,278,1
891,689,0
775,266,0
299,518,1
780,662,0
260,728,0
682,707,0
737,527,1
816,31,0
857,495,0
366,639,1
892,989,0
465,587,1
341,612,1
623,154,0
244,214,0
529,538,1
665,963,0
236,161,0
658,381,1
757,57,0
25,51,0
986,2,0
204,154,0
144,184,0
437,425,1
916,477,0
781,183,0
259,184,0
806,187,0
166,444,0
554,905,0
245,400,1
668,934,0
584,97,0
364,52,0
825,883,0
40,615,0
363,743,0
268,988,0
746,154,0
786,628,0
401,15,0
870,587,0
626,52,0
299,16,0
109,813,0
843,310,0
17,966,0
135,837,0
367,925,0
615,11,0
551,369,1
784,155,0
246,553,1
385,903,0
941,375,0
94,297,0
331,420,1
77,34,0
440,547,1
685,123,0
909,835,0
283,511,1
849,167,0
563,470,1
501,685,1
263,65,0
709,31,0
873,349,0
402,806,0
837,845,0
538,226,0
641,471,1
839,879,0
458,546,1
592,5,0
893,894,0
169,270,0
771,44,0
417,803,0
170,609,0
745,892,0
81,18,0
62,918,0
751,464,1
353,961,0
858,174,0
209,43,0
549,307,1
374,850,0
351,16,0
326,798,0
807,106,0
588,180,0
687,799,0
721,755,0
564,908,0
592,247,0
605,46,0
404,939,0
472,476,1
935,383,0
108,40,0
417,99,0
173,291,0
221,768,0
802,26,0
88,416,0
546,783,0
422,614,1
915,36,0
927,987,0
872,824,0
37,581,0
165,298,0
724,730,0
845,411,0
234,825,0
352,715,1
570,4,0
